,0
0,5758.0
1,5006.0
2,6223.0
3,954.0
4,536.0
5,355.0
6,319.0
7,269.0
8,285.0
9,225.0
10,187.0
11,242.0
12,195.0
13,160.0
14,104.0
15,121.0
16,95.0
17,103.0
18,114.0
19,87.0
20,102.0
21,96.0
22,71.0
23,54.0
24,59.0
25,67.0
26,60.0
27,35.0
28,45.0
29,43.0
30,49.0
31,48.0
32,39.0
33,42.0
34,45.0
35,43.0
36,32.0
37,41.0
38,39.0
39,32.0
40,46.0
41,33.0
42,37.0
43,27.0
44,25.0
45,25.0
46,22.0
47,16.0
48,23.0
49,29.0
50,34.0
51,25.0
52,16.0
53,30.0
54,24.0
55,16.0
56,43.0
57,46.0
58,48.0
59,31.0
60,33.0
61,31.0
62,19.0
63,37.0
64,33.0
65,39.0
66,36.0
67,44.0
68,43.0
69,32.0
70,33.0
71,34.0
72,52.0
73,40.0
74,44.0
75,55.0
76,32.0
77,40.0
78,49.0
79,45.0
80,56.0
81,68.0
82,36.0
83,45.0
84,30.0
85,42.0
86,47.0
87,47.0
88,36.0
89,51.0
90,46.0
91,49.0
92,45.0
93,49.0
94,45.0
95,31.0
96,28.0
97,31.0
98,44.0
99,57.0
100,63.0
101,48.0
102,59.0
103,50.0
104,48.0
105,55.0
106,66.0
107,56.0
108,44.0
109,4789.0
110,8160.0
111,7717.0
112,1851.0
113,3762.0
114,3280.0
115,1138.0
116,549.0
117,423.0
118,1120.0
119,2071.0
120,878.0
121,1217.0
122,6739.0
123,1528.0
124,1123.0
125,1330.0
126,1443.0
127,1829.0
128,3496.0
129,33428.0
130,118577.0
131,5247.0
132,2687.0
133,787.0
134,5742.0
135,9235.0
136,11489.0
137,2051.0
138,1873.0
139,3785.0
140,1569.0
141,2064.0
142,1865.0
143,2591.0
144,2687.0
145,3082.0
146,4706.0
147,5555.0
148,1758.0
149,755.0
150,83413.0
151,106444.0
152,55591.0
153,45716.0
154,2113.0
155,22662.0
156,9076.0
157,89.0
158,101.0
159,21918.0
160,28138.0
161,49676.0
162,30550.0
163,42936.0
164,15796.0
165,8596.0
166,2322.0
167,1467.0
168,1376.0
169,2855.0
170,3556.0
171,6446.0
172,7285.0
173,4749.0
174,6050.0
175,4972.0
176,3125.0
177,983.0
178,1713.0
179,502.0
180,645.0
181,952.0
182,650.0
183,654.0
184,598.0
185,603.0
186,630.0
187,641.0
188,529.0
189,40.0
190,20.0
191,25.0
192,25.0
193,13.0
194,19.0
195,15.0
196,26.0
197,24.0
198,33.0
199,24.0
200,36.0
201,11.0
202,33.0
203,28.0
204,35.0
205,45.0
206,40.0
207,30.0
208,29.0
209,20.0
210,14.0
211,16.0
212,18.0
213,37.0
214,32.0
215,24.0
216,23.0
217,36.0
218,29.0
219,34.0
220,33.0
221,23.0
222,44.0
223,37.0
224,28.0
225,27.0
226,21.0
227,22.0
228,40.0
229,21.0
230,27.0
231,22.0
232,11.0
233,38.0
234,35.0
235,18.0
236,19.0
237,24.0
238,20.0
239,23.0
240,22.0
241,21.0
242,24.0
243,23.0
244,33.0
245,19.0
246,20.0
247,21.0
248,19.0
249,19.0
250,35.0
251,25.0
252,21.0
253,24.0
254,24.0
255,33.0
256,12.0
257,26.0
258,34.0
259,27.0
260,19.0
261,23.0
262,18.0
263,27.0
264,23.0
265,21.0
266,27.0
267,26.0
268,30.0
269,20.0
270,27.0
271,33.0
272,20.0
273,20.0
274,25.0
275,36.0
